iter	Passed	Remaining
823	11794	2519
824	11825	2508
825	11842	2494
826	11851	2479
827	11859	2463
828	11868	2448
829	11880	2433
830	11891	2418
831	11912	2405
832	11922	2390
833	11929	2374
834	11935	2358
835	11943	2342
836	11951	2327
837	11967	2313
838	11981	2299
839	11989	2283
840	12002	2269
841	12012	2254
842	12019	2238
843	12027	2223
844	12044	2209
845	12049	2193
846	12055	2177
847	12062	2162
848	12067	2146
849	12073	2130
850	12079	2114
851	12085	2099
852	12090	2083
853	12094	2067
854	12099	2052
855	12104	2036
856	12110	2020
857	12116	2005
858	12121	1989
859	12125	1973
860	12130	1958
861	12136	1942
862	12141	1927
863	12148	1912
864	12154	1896
865	12159	1881
866	12165	1866
867	12171	1850
868	12175	1835
869	12181	1820
870	12186	1804
871	12191	1789
872	12197	1774
873	12202	1759
874	12205	1743
875	12212	1728
876	12217	1713
877	12221	1698
878	12227	1683
879	12231	1667
880	12236	1652
881	12239	1637
882	12245	1622
883	12252	1607
884	12262	1593
885	12272	1579
886	12278	1564
887	12286	1549
888	12291	1534
889	12297	1519
890	12302	1505
891	12309	1490
892	12315	1475
893	12320	1460
894	12327	1446
895	12333	1431
896	12338	1416
897	12346	1402
898	12352	1387
899	12360	1373
900	12366	1358
901	12374	1344
902	12381	1329
903	12388	1315
904	12394	1301
905	12398	1286
906	12405	1271
907	12411	1257
908	12416	1243
909	12423	1228
910	12429	1214
911	12434	1199
912	12441	1185
913	12447	1171
914	12454	1156
915	12461	1142
916	12468	1128
917	12475	1114
918	12480	1100
919	12488	1085
920	12493	1071
921	12500	1057
922	12506	1043
923	12512	1029
924	12518	1015
925	12523	1000
926	12527	986
927	12534	972
928	12540	958
929	12548	944
930	12555	930
931	12560	916
932	12568	902
933	12574	888
934	12580	874
935	12587	860
936	12595	846
937	12602	832
938	12606	818
939	12613	805
940	12621	791
941	12630	777
942	12637	763
943	12641	749
944	12653	736
945	12662	722
946	12670	709
947	12676	695
948	12682	681
949	12688	667
950	12695	654
951	12699	640
952	12702	626
953	12708	612
954	12714	599
955	12719	585
956	12725	571
957	12731	558
958	12736	544
959	12741	530
960	12748	517
961	12755	503
962	12762	490
963	12766	476
964	12772	463
965	12778	449
966	12783	436
967	12789	422
968	12796	409
969	12801	395
970	12807	382
971	12813	369
972	12820	355
973	12825	342
974	12830	328
975	12840	315
976	12845	302
977	12850	289
978	12856	275
979	12862	262
980	12867	249
981	12873	235
982	12878	222
983	12884	209
984	12890	196
985	12895	183
986	12901	169
987	12907	156
988	12911	143
989	12917	130
990	12924	117
991	12931	104
992	12937	91
993	12944	78
994	12949	65
995	12956	52
996	12962	39
997	12968	25
998	12972	12
999	12975	0
5	990
952	19655	969
953	19666	948
954	19685	927
955	19698	906
956	19707	885
957	19717	864
958	19727	843
959	19746	822
960	19753	801
961	19762	780
962	19775	759
963	19784	738
964	19795	717
965	19805	697
966	19813	676
967	19823	655
968	19831	634
969	19838	613
970	19846	592
971	19854	571
972	19868	551
973	19877	530
974	19887	509
975	19896	489
976	19910	468
977	19920	448
978	19929	427
979	19952	407
980	19962	386
981	19974	366
982	19987	345
983	19993	325
984	20002	304
985	20014	284
986	20023	263
987	20029	243
988	20037	222
989	20045	202
990	20052	182
991	20060	161
992	20067	141
993	20076	121
994	20083	100
995	20091	80
996	20098	60
997	20107	40
998	20114	20
999	20123	0
65	1654
976	67281	1583
977	67323	1514
978	67348	1444
979	67415	1375
980	67454	1306
981	67527	1237
982	67603	1169
983	67643	1099
984	67664	1030
985	67675	960
986	67684	891
987	67690	822
988	67699	752
989	67728	684
990	67756	615
991	67771	546
992	67792	477
993	67844	409
994	67904	341
995	68008	273
996	68076	204
997	68109	136
998	68144	68
999	68229	0
86	135
998	67416	67
999	67485	0
